date,season,team,opponent,venue,elo_before,elo_after
1993-08-14,1993-94,Arsenal,Coventry,H,1500.0,1476.7483058382622
1993-08-16,1993-94,Arsenal,Tottenham,A,1476.7483058382622,1487.0882744580679
1993-08-21,1993-94,Arsenal,Sheffield Weds,A,1487.0882744580679,1496.943400142914
1993-08-24,1993-94,Arsenal,Leeds,H,1496.943400142914,1501.0405167103013
1993-08-28,1993-94,Arsenal,Everton,H,1501.0405167103013,1509.1309703145757
1993-09-01,1993-94,Arsenal,Blackburn,A,1509.1309703145757,1510.3253985547528
1993-09-11,1993-94,Arsenal,Ipswich,H,1510.3253985547528,1525.3344476533673
1993-09-19,1993-94,Arsenal,Man United,A,1525.3344476533673,1521.282944061445
1993-09-25,1993-94,Arsenal,Southampton,H,1521.282944061445,1524.5597932109747
1993-10-02,1993-94,Arsenal,Liverpool,A,1524.5597932109747,1525.6733856821868
1993-10-16,1993-94,Arsenal,Man City,H,1525.6733856821868,1524.40744075729
1993-10-23,1993-94,Arsenal,Oldham,A,1524.40744075729,1524.9214988891583
1993-10-30,1993-94,Arsenal,Norwich,H,1524.9214988891583,1524.0938820720614
1993-11-06,1993-94,Arsenal,Aston Villa,H,1524.0938820720614,1514.294981621674
1993-11-20,1993-94,Arsenal,Chelsea,A,1514.294981621674,1529.1363188770283
1993-11-24,1993-94,Arsenal,West Ham,A,1529.1363188770283,1529.831046483012
1993-11-27,1993-94,Arsenal,Newcastle,H,1529.831046483012,1534.8156921482546
1993-12-04,1993-94,Arsenal,Coventry,A,1534.8156921482546,1529.448749219186
1993-12-06,1993-94,Arsenal,Tottenham,H,1529.448749219186,1528.1483387429691
1993-12-12,1993-94,Arsenal,Sheffield Weds,H,1528.1483387429691,1532.5771312401985
1993-12-18,1993-94,Arsenal,Leeds,A,1532.5771312401985,1528.3443547851161
1993-12-27,1993-94,Arsenal,Swindon,A,1528.3443547851161,1550.863784580056
1993-12-29,1993-94,Arsenal,Sheffield United,H,1550.863784580056,1557.3863383205828
1994-01-01,1993-94,Arsenal,Wimbledon,A,1557.3863383205828,1577.2929941350776
1994-01-03,1993-94,Arsenal,QPR,H,1577.2929941350776,1575.926421664498
1994-01-15,1993-94,Arsenal,Man City,A,1575.926421664498,1575.9957878956066
1994-01-22,1993-94,Arsenal,Oldham,H,1575.9957878956066,1573.8322586144577
1994-02-13,1993-94,Arsenal,Norwich,A,1573.8322586144577,1574.8369016743075
1994-02-19,1993-94,Arsenal,Everton,A,1574.8369016743075,1574.8369523849035
1994-02-26,1993-94,Arsenal,Blackburn,H,1574.8369523849035,1579.7346213703115
1994-03-05,1993-94,Arsenal,Ipswich,A,1579.7346213703115,1603.9873605869755
1994-03-19,1993-94,Arsenal,Southampton,A,1603.9873605869755,1625.441490635765
1994-03-22,1993-94,Arsenal,Man United,H,1625.441490635765,1624.5160987217973
1994-03-26,1993-94,Arsenal,Liverpool,H,1624.5160987217973,1627.7011659985858
1994-04-02,1993-94,Arsenal,Swindon,H,1627.7011659985858,1625.2101026884995
1994-04-04,1993-94,Arsenal,Sheffield United,A,1625.2101026884995,1624.7578787095076
1994-04-16,1993-94,Arsenal,Chelsea,H,1624.7578787095076,1627.158580262824
1994-04-19,1993-94,Arsenal,Wimbledon,H,1627.158580262824,1625.3277563522774
1994-04-23,1993-94,Arsenal,Aston Villa,A,1625.3277563522774,1632.4936966625219
1994-04-27,1993-94,Arsenal,QPR,A,1632.4936966625219,1632.6075102836055
1994-04-30,1993-94,Arsenal,West Ham,H,1632.6075102836055,1612.287639696669
1994-05-07,1993-94,Arsenal,Newcastle,A,1612.287639696669,1604.9095687200388
1994-08-20,1994-95,Arsenal,Man City,H,1599.6640902840368,1605.9029876036127
1994-08-23,1994-95,Arsenal,Leeds,A,1605.9029876036127,1600.9632301463175
1994-08-28,1994-95,Arsenal,Liverpool,A,1600.9632301463175,1587.0874587788182
1994-08-31,1994-95,Arsenal,Blackburn,H,1587.0874587788182,1586.2422232477768
1994-09-10,1994-95,Arsenal,Norwich,A,1586.2422232477768,1586.5784304409099
1994-09-18,1994-95,Arsenal,Newcastle,H,1586.5784304409099,1578.315488144012
1994-09-25,1994-95,Arsenal,West Ham,A,1578.315488144012,1590.2796520277757
1994-10-01,1994-95,Arsenal,Crystal Palace,H,1590.2796520277757,1577.996724021622
1994-10-08,1994-95,Arsenal,Wimbledon,A,1577.996724021622,1591.9066974994375
1994-10-15,1994-95,Arsenal,Chelsea,H,1591.9066974994375,1597.3732808997308
1994-10-23,1994-95,Arsenal,Coventry,H,1597.3732808997308,1600.2819402147115
1994-10-29,1994-95,Arsenal,Everton,A,1600.2819402147115,1599.329392416479
1994-11-06,1994-95,Arsenal,Sheffield Weds,H,1599.329392416479,1597.8549755077863
1994-11-19,1994-95,Arsenal,Southampton,A,1597.8549755077863,1589.9048483823278
1994-11-23,1994-95,Arsenal,Leicester,A,1589.9048483823278,1581.3638477710863
1994-11-26,1994-95,Arsenal,Man United,H,1581.3638477710863,1581.26732223484
1994-12-03,1994-95,Arsenal,Nott'm Forest,A,1581.26732223484,1581.621855850107
1994-12-12,1994-95,Arsenal,Man City,A,1581.621855850107,1589.697058668804
1994-12-17,1994-95,Arsenal,Leeds,H,1589.697058668804,1573.0852273899675
1994-12-26,1994-95,Arsenal,Aston Villa,H,1573.0852273899675,1571.172537121055
1994-12-28,1994-95,Arsenal,Ipswich,A,1571.172537121055,1579.9760846008478
1994-12-31,1994-95,Arsenal,QPR,H,1579.9760846008478,1561.5954732503867
1995-01-02,1994-95,Arsenal,Tottenham,A,1561.5954732503867,1555.9355518782995
1995-01-14,1994-95,Arsenal,Everton,H,1555.9355518782995,1553.962557464518
1995-01-21,1994-95,Arsenal,Coventry,A,1553.962557464518,1561.0624303892596
1995-01-24,1994-95,Arsenal,Southampton,H,1561.0624303892596,1559.2125462077242
1995-02-04,1994-95,Arsenal,Sheffield Weds,A,1559.2125462077242,1551.5474878710534
1995-02-11,1994-95,Arsenal,Leicester,H,1551.5474878710534,1549.43919905438
1995-02-21,1994-95,Arsenal,Nott'm Forest,H,1549.43919905438,1553.4616316381716
1995-02-25,1994-95,Arsenal,Crystal Palace,A,1553.4616316381716,1570.2067691253142
1995-03-05,1994-95,Arsenal,West Ham,H,1570.2067691253142,1558.4301350084372
1995-03-08,1994-95,Arsenal,Blackburn,A,1558.4301350084372,1553.840072491858
1995-03-19,1994-95,Arsenal,Newcastle,A,1553.840072491858,1550.4686490655374
1995-03-22,1994-95,Arsenal,Man United,A,1550.4686490655374,1544.805855719185
1995-04-01,1994-95,Arsenal,Norwich,H,1544.805855719185,1555.9562507554488
1995-04-08,1994-95,Arsenal,QPR,A,1555.9562507554488,1547.3187333622514
1995-04-12,1994-95,Arsenal,Liverpool,H,1547.3187333622514,1538.8356188463424
1995-04-15,1994-95,Arsenal,Ipswich,H,1538.8356188463424,1542.7631286750814
1995-04-17,1994-95,Arsenal,Aston Villa,A,1542.7631286750814,1568.9955795363828
1995-04-29,1994-95,Arsenal,Tottenham,H,1568.9955795363828,1567.6943537130032
1995-05-04,1994-95,Arsenal,Wimbledon,H,1567.6943537130032,1565.9974313506723
1995-05-14,1994-95,Arsenal,Chelsea,A,1565.9974313506723,1559.116898656109
1995-08-20,1995-96,Arsenal,Middlesbrough,H,1556.1610537233037,1554.4009230294353
1995-08-23,1995-96,Arsenal,Everton,A,1554.4009230294353,1566.9685130373564
1995-08-26,1995-96,Arsenal,Coventry,A,1566.9685130373564,1567.0365929924208
1995-08-29,1995-96,Arsenal,Nott'm Forest,H,1567.0365929924208,1566.3584022421562
1995-09-10,1995-96,Arsenal,Man City,A,1566.3584022421562,1572.9926598633404
1995-09-16,1995-96,Arsenal,West Ham,H,1572.9926598633404,1576.0936266607303
1995-09-23,1995-96,Arsenal,Southampton,H,1576.0936266607303,1581.0674956771468
1995-09-30,1995-96,Arsenal,Chelsea,A,1581.0674956771468,1574.2330747899512
1995-10-14,1995-96,Arsenal,Leeds,A,1574.2330747899512,1598.6637374721315
1995-10-21,1995-96,Arsenal,Aston Villa,H,1598.6637374721315,1604.206902926275
1995-10-30,1995-96,Arsenal,Bolton,A,1604.206902926275,1595.5444742808631
1995-11-04,1995-96,Arsenal,Man United,H,1595.5444742808631,1603.0319899747371
1995-11-18,1995-96,Arsenal,Tottenham,A,1603.0319899747371,1596.7777433414437
1995-11-21,1995-96,Arsenal,Sheffield Weds,H,1596.7777433414437,1601.4910718242877
1995-11-26,1995-96,Arsenal,Blackburn,H,1601.4910718242877,1600.8267835069132
1995-12-02,1995-96,Arsenal,Aston Villa,A,1600.8267835069132,1601.2351002479386
1995-12-09,1995-96,Arsenal,Southampton,A,1601.2351002479386,1601.0089684214483
1995-12-16,1995-96,Arsenal,Chelsea,H,1601.0089684214483,1599.2591825674608
1995-12-23,1995-96,Arsenal,Liverpool,A,1599.2591825674608,1591.9509894379032
1995-12-26,1995-96,Arsenal,QPR,H,1591.9509894379032,1598.7533206396142
1995-12-30,1995-96,Arsenal,Wimbledon,H,1598.7533206396142,1579.1474925787977
1996-01-02,1995-96,Arsenal,Newcastle,A,1579.1474925787977,1573.3074787309392
1996-01-13,1995-96,Arsenal,Middlesbrough,A,1573.3074787309392,1580.681473729233
1996-01-20,1995-96,Arsenal,Everton,H,1580.681473729233,1570.052208068647
1996-02-03,1995-96,Arsenal,Coventry,H,1570.052208068647,1568.1648553783166
1996-02-10,1995-96,Arsenal,Nott'm Forest,A,1568.1648553783166,1577.8776380557404
1996-02-24,1995-96,Arsenal,West Ham,A,1577.8776380557404,1585.9060822337124
1996-03-02,1995-96,Arsenal,QPR,A,1585.9060822337124,1585.7003379319144
1996-03-05,1995-96,Arsenal,Man City,H,1585.7003379319144,1589.4784172921509
1996-03-16,1995-96,Arsenal,Wimbledon,A,1589.4784172921509,1605.0375107679602
1996-03-20,1995-96,Arsenal,Man United,A,1605.0375107679602,1602.274643600321
1996-03-23,1995-96,Arsenal,Newcastle,H,1602.274643600321,1612.0620363891921
1996-04-06,1995-96,Arsenal,Leeds,H,1612.0620363891921,1615.4833748319181
1996-04-08,1995-96,Arsenal,Sheffield Weds,A,1615.4833748319181,1607.535185710353
1996-04-15,1995-96,Arsenal,Tottenham,H,1607.535185710353,1606.172209121106
1996-04-27,1995-96,Arsenal,Blackburn,A,1606.172209121106,1607.2958930169216
1996-05-01,1995-96,Arsenal,Liverpool,H,1607.2958930169216,1606.8829241200383
1996-05-04,1995-96,Arsenal,Bolton,H,1606.8829241200383,1608.6293068707805
1996-08-17,1996-97,Arsenal,West Ham,H,1603.1978415272415,1608.1523081809064
1996-08-19,1996-97,Arsenal,Liverpool,A,1608.1523081809064,1601.749500008616
1996-08-24,1996-97,Arsenal,Leicester,A,1601.749500008616,1612.20013522652
1996-09-04,1996-97,Arsenal,Chelsea,H,1612.20013522652,1610.5164884569133
1996-09-07,1996-97,Arsenal,Aston Villa,A,1610.5164884569133,1611.098196723427
1996-09-16,1996-97,Arsenal,Sheffield Weds,H,1611.098196723427,1617.4234607040269
1996-09-21,1996-97,Arsenal,Middlesbrough,A,1617.4234607040269,1627.41017511608
1996-09-28,1996-97,Arsenal,Sunderland,H,1627.41017511608,1631.3176102715263
1996-10-12,1996-97,Arsenal,Blackburn,A,1631.3176102715263,1645.1161351721312
1996-10-19,1996-97,Arsenal,Coventry,H,1645.1161351721312,1642.8132565081612
1996-10-26,1996-97,Arsenal,Leeds,H,1642.8132565081612,1647.8396898134145
1996-11-02,1996-97,Arsenal,Wimbledon,A,1647.8396898134145,1647.806221208418
1996-11-16,1996-97,Arsenal,Man United,A,1647.806221208418,1643.822715118186
1996-11-24,1996-97,Arsenal,Tottenham,H,1643.822715118186,1649.938281932555
1996-11-30,1996-97,Arsenal,Newcastle,A,1649.938281932555,1659.685683130527
1996-12-04,1996-97,Arsenal,Southampton,H,1659.685683130527,1662.735199373516
1996-12-07,1996-97,Arsenal,Derby,H,1662.735199373516,1660.5394512553648
1996-12-21,1996-97,Arsenal,Nott'm Forest,A,1660.5394512553648,1651.988796794807
1996-12-26,1996-97,Arsenal,Sheffield Weds,A,1651.988796794807,1651.4506683144755
1996-12-28,1996-97,Arsenal,Aston Villa,H,1651.4506683144755,1649.925782185834
1997-01-01,1996-97,Arsenal,Middlesbrough,H,1649.925782185834,1652.328060930372
1997-01-11,1996-97,Arsenal,Sunderland,A,1652.328060930372,1643.4212182534607
1997-01-19,1996-97,Arsenal,Everton,H,1643.4212182534607,1648.165005268195
1997-01-29,1996-97,Arsenal,West Ham,A,1648.165005268195,1653.4387589858115
1997-02-01,1996-97,Arsenal,Leeds,A,1653.4387589858115,1652.9422479941998
1997-02-15,1996-97,Arsenal,Tottenham,A,1652.9422479941998,1652.9089600802147
1997-02-19,1996-97,Arsenal,Man United,H,1652.9089600802147,1645.166774694394
1997-02-23,1996-97,Arsenal,Wimbledon,H,1645.166774694394,1633.9975547521337
1997-03-01,1996-97,Arsenal,Everton,A,1633.9975547521337,1645.6807007938498
1997-03-08,1996-97,Arsenal,Nott'm Forest,H,1645.6807007938498,1649.337161873052
1997-03-15,1996-97,Arsenal,Southampton,A,1649.337161873052,1658.179913086358
1997-03-24,1996-97,Arsenal,Liverpool,H,1658.179913086358,1649.454373340241
1997-04-05,1996-97,Arsenal,Chelsea,A,1649.454373340241,1666.5129196282026
1997-04-12,1996-97,Arsenal,Leicester,H,1666.5129196282026,1669.6012408975555
