Rank,Team,Peak Elo,Date,Season
1,Man City,1942,19 May 2024,2023-24
2,Liverpool,1938,24 Feb 2020,2019-20
3,Chelsea,1888,15 Jan 2006,2005-06
4,Man United,1881,04 Mar 2009,2008-09
5,Arsenal,1863,16 Oct 2004,2004-05
6,Tottenham,1844,07 Apr 2018,2017-18
7,Newcastle,1720,04 Nov 2023,2023-24
8,Everton,1717,12 Apr 2014,2013-14
9,Blackburn,1699,15 Apr 1995,1994-95
10,Leeds,1698,04 Nov 2001,2001-02
11,Aston Villa,1697,27 Dec 2025,2025-26
12,Leicester,1687,08 Dec 2019,2019-20
13,Southampton,1661,23 Oct 2016,2016-17
14,West Ham,1658,07 Nov 2021,2021-22
15,Brighton,1652,24 Sep 2023,2023-24
16,Crystal Palace,1646,07 Dec 2025,2025-26
17,Bournemouth,1635,24 May 2026,2025-26
18,Nott'm Forest,1627,06 Nov 1995,1995-96
19,Brentford,1625,07 Jan 2026,2025-26
20,Bolton,1619,30 Dec 2006,2006-07
